text,label,lang
anyare sa separation of Church and State,0,en
Fact: The United States has legal obligations to provide protection to those who qualify as refugees. URL,0,en
I would gladly go to India and torture these fuckers to death myself.,1,en
You're a pussy and your kids would be pussies,1,en
my masculine is awakening from my spiritual elevation,0,en
Why are you defending murderers you fucking white nationalist freak?,1,en
"Black man, white woman. Several of my neighbors are that combo. They all seem happy, so, I don't judge.",0,en
These faggots cant wait their turn smh,1,en
Aither deserves to be recognized for the LGBT woman she is.,0,en
ima rape your moms and stomp out her skull,1,en
"Fuck them, they are nor wanted in our country!",1,en
"Secondly don't try and tell me they earned that shit, vomit that mayo elsewhere",1,en
"They deserve this poverty, they sound like inhumane pieces of shit over there",1,en
All of the Trumptards are talking their sh%t that our prez can't walk without falling or tripping as compared to their cult leader.,1,en
"Keep her bent over, rip the shorts off and pull her hair while I gape her asshole",1,en
"We Must Ban Islam Totally from Our Country, Destroy their Mosques & Deport them Back Home to the Desert!",1,en
No I got mad because you're a stupid fucking faggot,1,en
Part of what makes America a great place - we are diverse and share in each other's cultures.,0,en
How You Gon Bash Me Then Try To Fuck Me Hoe You Super Fake,1,en
1st book of its kind site:Outdoing creed did Modi unite Indians & win votes URL URL,0,en
"The 3 Foundational Steps To Building An Inclusive Culture by Tony Prophet , Chief Equality Officer URL ",0,en
Says the annoying little shit who calls me bitter and needs to get laid more because I dared to suggest that a person's body count actually matters.,1,en
This ⁦⁩ we need visa reform. Immigrants are building Britain's fastest-growing businesses – CityAM URL,0,en
"u niggas are fuckin nuts, put the guns down &amp; get a job.",1,en
What a bitch you are you absolute scum of a human troll.,1,en
"you fucking idiot, no wonder you need advice to talk to people.",1,en
Wishing all of our Muslim customers Eid al-Adha. URL,0,en
"Polish ppl love you Shawn Edit : I'm not polish, but *KiSsEs FrOm PoLaNd",0,en
Amen for a this women of our great God.,0,en
This asshole needs to be deported.,1,en
America will stop invading countries when muslims stop decapatating people in the name of allah.,1,en
youre a fat faggot lol you got banned from the madlib board bitch nigger,1,en
This bitch has amazing cock sucking lips,1,en
Pussy ass hoes could never *Woahh Vicky voice* since she’s in the spotlight today,1,en
"No, I converted to Catholicism. I chose to be catholic and I am very blessed and thankful for it.",0,en
Everyone loves Ellen the lgbt+ qweeeennnn,0,en
Because JC got into trouble for trying to get with straight boys.,0,en
Always appreciate a good booty/whooty on any gender.,0,en
FUCK ALL MUSLIMS I MUZZELED YALLS ASS ALONG TIME AGO.,1,en
Wake up young Africans one love,0,en
>A nasty comment yes. But how is it overt racism? O know exactly how that's racist.,0,en
Thank you fellow lgbt you are valid as well,0,en
"Not ""everyone"", but most people. I'm bisexual and I've been dating this great guy for nine months. He's the sweetest person I've ever met.",0,en
They're a bunch of insufferable bitches so most all women,1,en
If I knew you in real life I would kick your goddamn teeth in I don't have a single fucking.thing to lose.,1,en
I consider the Asian men are the most respectful and romantic human beings ever. I don't know how other people can't see it.,0,en
Whoa there Buddy!!! Who appointed you gatekeeper for Christians? I'm proud of my church.,0,en
Go back to Somalia save your own dam country and leave AMERICA to Americans!,1,en
Just proof we need more darker skin girls! They look so pretty in everything.,0,en
Thanks Guru Papa motivation the women in every field URL,0,en
We Pakistani are Turkish and Our Turkish are Pakistani. We are One and United. Thank you ofr supporting Pakistan,0,en
Fuck religious zealots need to burn in their own fiery hell.,1,en
She shit on these bitches that speak on her name URL,1,en
"We’re going to gather up ALL of your guns, melt them down and turn them into a gargantuan metal mountain emblazoned with the face of Hillary Clinton.",1,en
Shut the fuck up retarded ass faggot redditor,1,en
To all of my LGBTQ friends and loves: Happy Pride! Love Is Love,0,en
That is the kind of women I respect,0,en
"One guy, a dozen competing for him... sounds like the life of an average top on Grindr ‍",0,en
"When I fuck your wife, she'll cum faster than a fat kid to a cake buffet #findom #cuck #paypig #paypet URL",1,en
"Equality, freedom, and human rights.It is such a beautiful things.",0,en
"Jeeze, she’s got some double pink eye going on…she needs to lay off the sh*t play.",1,en
It's fair game once you disrespect me fuck her ass,1,en
more proof that whites are subhuman,1,en
Aren’t traitors supposed to be executed ?,1,en
The woman who inspires me is my mom because she is a rockstar. - Alli S.,0,en
ri3it483qthirf Right. Im a white lady and that was epic,0,en
correct!i like it. And im a straight male who thinks its great people should celebrate who they are!,0,en
"They are gonna blame the patriarchy and misoginy when the movie will flop,just like Ghostbusters and Oceans.",0,en
you bitches dumb &amp; these niggas dumber dumbasses,1,en
Have fun giving birth to a baby that someone impregnated you by raping you,1,en
"Yeah, this woman is fucking dumb as hell.",1,en
"niggas hate to see women win, a mental illness",1,en
women are better than the FBI  URL,0,en
So Tax the Rich; Shag the Bitch.,1,en
I mean I hated this white person yesterday. But i realize that we should united and not separated. Love for everyone,0,en
YALL DO NOT LET THESE BITCH ASS NIGGAS MAKE U FEEL LIKE SHIT CAUSE THEY AINT SHIT,1,en
